"Fund name","Location","Description","Website","LinkedIn","Investment Stage","CB Rank (Organization)","Founded Date","Organization URL","Industries","Total Funding","Number of Investments 2025","Number of Investments 2026","Number of Investments","Number of Lead Investments","Contact Email"," ","","","","","","","","",""
"iAngels","Tel Aviv","iAngels is a venture capital firm and one of Israel's most active and recognized investor.","https://www.iangels.com","https://www.linkedin.com/company/iangels","Crowdfunding, Early Stage Venture, Secondary Market, Seed","18 077","2013-07-01","https://www.crunchbase.com/organization/iangels","Artificial Intelligence (AI), Software, Financial Services, Blockchain, SaaS, Health Care, E-Commerce, Machine Learning, Cryptocurrency, FinTech","$1 315 280 000","5","1","127","13","team@iangels.com"," ","Blockchain","","","","","","","",""
"TLV Partners","Tel Aviv","TLV Partners is an early-stage venture capital firm investing in Israeli entrepreneurs who are pushing the boundaries of what is possible.","http://www.tlv.partners","https://www.linkedin.com/company/tlv-partners","Early Stage Venture, Late Stage Venture, Seed, Venture","3 427","2015-01-01","https://www.crunchbase.com/organization/tlv-partners","Software, Artificial Intelligence (AI), Cyber Security, Information Technology, SaaS, Machine Learning, Analytics, Developer Tools, Financial Services, Finance","$2 785 500 000","15","3","125","56","tlv@tlv.partners"," ","Cloud Computing","","","","","","","",""
"Magma Venture Partners","Tel Aviv","Magma Venture Partners is a venture capital firm specializing in early-stage investments.","http://www.magmavc.com","https://www.linkedin.com/company/magma-venture-partners","Early Stage Venture, Seed","55 508","1999-01-01","https://www.crunchbase.com/organization/magma-venture-partners","Software, Mobile, Artificial Intelligence (AI), Enterprise Software, Cyber Security, SaaS, Information Technology, Analytics, Semiconductor, Internet","$1 022 300 000","0","0","123","29","info@magmavc.com"," ","Cloud Security","","","","","","","",""
"StageOne Ventures","Herzliya","StageOne Ventures invests in founders of Early-Stage B2B Deep Tech startups in the Israeli ecosystem.","http://www.stageonevc.com","https://www.linkedin.com/company/stageone-vc","Convertible Note, Early Stage Venture, Late Stage Venture, Seed","3 572","2001-01-01","https://www.crunchbase.com/organization/stageone-ventures","Software, Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Analytics, Security, Cyber Security, Enterprise Software, Cloud Security","$1 159 101 000","7","2","115","43","info@stageonevc.com"," ","Computer","","","","","","","",""
"Glilot Capital Partners","Herzliya","Glilot Capital is a seed and early-stage venture fund that invests in artificial intelligence, cybersecurity, and big data companies.","http://www.glilotcapital.com","https://www.linkedin.com/company/2009112/","Convertible Note, Early Stage Venture, Seed","7 619","2010-01-01","https://www.crunchbase.com/organization/glilot-capital-partners","Cyber Security, Software, Artificial Intelligence (AI), Network Security, SaaS, Security, Cloud Security, Machine Learning, Information Technology, DevOps","$1 904 100 000","12","2","111","48","info@glilotcapital.com"," ","Computer Vision","","","","","","","",""
"Pontifax","Herzliya","Pontifax is a venture capital firm that finances pharmaceutical and life sciences companies.","http://www.pontifax.com","https://www.linkedin.com/company/pontifax-venture-capital?trk=company_logo","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture","30 200","2004-01-01","https://www.crunchbase.com/organization/pontifax","Biotechnology, Health Care, Medical, Pharmaceutical, Therapeutics, Biopharma, Medical Device, Life Science, Wellness, Genetics","$4 712 080 000","6","0","111","28","info@pontifax.com"," ","Content","","","","","","","",""
"Viola Credit","Herzliya","A global alternative credit investment manager, providing customized credit solutions for tech companies & Fintech lenders.","https://violacredit.com","https://www.linkedin.com/company/viola-credit/","Debt, Early Stage Venture, Late Stage Venture","14 545","2000-01-01","https://www.crunchbase.com/organization/viola-credit","Software, FinTech, Financial Services, E-Commerce, Information Technology, Enterprise Software, Internet, Analytics, Telecommunications, B2B","$2 593 010 000","3","0","102","32","dealflow@violacredit.com"," ","Cryptocurrency","","","","","","","",""
"Cerca Partners","Ra'anana","A leading follow-on VC fund with a sustainable advantage of unique insights and access to the best Israeli startup investment opportunities.","http://www.cerca-partners.com","https://www.linkedin.com/company/cerca-partners/about/","Early Stage Venture, Late Stage Venture, Seed, Venture","140 267","2014-01-01","https://www.crunchbase.com/organization/cerca-partners","Software, Cyber Security, Artificial Intelligence (AI), SaaS, Information Technology, Network Security, Enterprise Software, Financial Services, Cloud Security, Analytics","$2 675 500 000","12","3","95","1","info@cerca-partners.com"," ","Cyber Security","","","","","","","",""
"lool ventures","Tel Aviv","lool is a Tel-Aviv based venture capital fund focused on seed and pre-seed investments","http://www.lool.vc","https://www.linkedin.com/company/lool-ventures","Early Stage Venture, Seed","129 360","2011-01-01","https://www.crunchbase.com/organization/lool-ventures","Artificial Intelligence (AI), Software, SaaS, Machine Learning, Information Technology, E-Commerce, Internet, Health Care, Social Media, Financial Services","$669 985 000","7","2","93","38","info@lool.vc"," ","Developer APIs","","","","","","","",""
"BRM Capital","Tel Aviv","BRM Capital is a VC fund that invests in early stage, Israel-related software, internet infrastructure, and communication companies.","http://www.brm.com","http://www.linkedin.com/company/brm","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","278 337","1988-01-01","https://www.crunchbase.com/organization/brm-capital","Software, Information Technology, Internet, Advertising, Marketing, Cyber Security, Security, Mobile, Semiconductor, Medical Device","$1 001 705 000","2","0","89","24","info@brm.com"," ","Developer Tools","","","","","","","",""
"Hanaco Venture Capital","Tel Aviv","Hanaco Venture Capital is a venture capital fund that invests in promising Israeli start-ups.","http://www.hanacovc.com","https://www.linkedin.com/company/hanacoventures","-","214 170","2017-01-01","https://www.crunchbase.com/organization/hanaco-venture-capital","Software, FinTech, SaaS, Financial Services, Artificial Intelligence (AI), E-Commerce, Cyber Security, Information Technology, Internet, Health Care","$3 999 200 000","10","0","88","34","office@hanacovc.com"," ","DevOps","","","","","","","",""
"Maniv Mobility","Tel Aviv","Maniv Mobility is a venture capital firm investing in early-stage startups in mobility, transportation, and logistics.","http://maniv.com/","https://www.linkedin.com/company/maniv-mobilityvc/","Early Stage Venture, Late Stage Venture, Seed, Venture","10 800","2014-01-01","https://www.crunchbase.com/organization/manivmobility","Automotive, Autonomous Vehicles, Transportation, Software, Artificial Intelligence (AI), Robotics, Electric Vehicle, Manufacturing, Semiconductor, Computer Vision","$1 424 480 000","5","1","82","23","-"," ","E-Commerce","","","","","","","",""
"Team8","Tel Aviv","Team8 creates and invests in companies specializing in enterprise technologies, cyber, AI, and fintech.","http://www.team8.vc","https://www.linkedin.com/company/team8group","Early Stage Venture, Venture","98","2014-01-01","https://www.crunchbase.com/organization/team8","Cyber Security, Artificial Intelligence (AI), Software, Network Security, Computer, Information Technology, Financial Services, FinTech, Security, Cloud Security","$2 642 400 000","20","7","81","41","info@team8.vc"," ","Electric Vehicle","","","","","","","",""
"Firstime Venture Capital","Tel Aviv","Firstime Venture Capital is an Israeli investor club that financially supports new digital companies.","http://www.firstime.vc/","https://www.linkedin.com/company/firstime-vc","Early Stage Venture, Late Stage Venture, Seed, Venture","46 593","2014-06-01","https://www.crunchbase.com/organization/firsttime-venture-capital","Software, Health Care, Artificial Intelligence (AI), Machine Learning, SaaS, Internet, Retail, E-Commerce, Biotechnology, Health Diagnostics","","1","0","79","22","info@firstime.vc"," ","Energy","","","","","","","",""
"Cedar Fund","Herzliya","Cedar Fund specializes in early stage, Israel-related investments, including Pre-Seed, seed and first round.","http://www.cedarfund.com","https://www.linkedin.com/company/cedar-fund/","Early Stage Venture, Late Stage Venture, Seed","340 077","1997-01-01","https://www.crunchbase.com/organization/cedar-fund","Software, Enterprise Software, Information Technology, Mobile, Internet, SaaS, Analytics, Telecommunications, Big Data, Semiconductor","","0","0","79","19","info@cedarfund.com"," ","Enterprise Software","","","","","","","",""
"F2 Venture Capital","Tel Aviv","F2 is an early-stage venture capital firm that invests in the most promising AI startups out of Israel.","http://www.f2vc.com","https://www.linkedin.com/company/f2-capital","Early Stage Venture, Seed, Venture","4 770","2016-11-01","https://www.crunchbase.com/organization/f2-capital","Software, Artificial Intelligence (AI), Information Technology, SaaS, Machine Learning, Analytics, Cyber Security, Network Security, Big Data, FinTech","$665 700 000","11","1","71","28","contact@f2vc.com"," ","Finance","","","","","","","",""
"aMoon Fund","Ra'anana","aMoon is a leading healthtech & life sciences venture capital firm.","https://amoon.fund/","https://www.linkedin.com/company/amoon-fund/","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture","77 122","2016-01-01","https://www.crunchbase.com/organization/amoon","Health Care, Biotechnology, Medical, Health Diagnostics, Life Science, Medical Device, Artificial Intelligence (AI), Wellness, Pharmaceutical, Therapeutics","$3 684 230 000","8","0","69","34","-"," ","Financial Services","","","","","","","",""
"PICO Venture Partners","Jerusalem","PICO Venture Partners is an early-stage VC firm that invests in apparels, automobiles, technology, and computer security companies.","http://pico.partners","https://www.linkedin.com/company/pico-venture-partners","Early Stage Venture, Late Stage Venture, Seed, Venture","34 668","2015-08-01","https://www.crunchbase.com/organization/pico-partners","Software, Information Technology, Cyber Security, E-Commerce, Big Data, Network Security, SaaS, Mobile Apps, Analytics, Automotive","","3","1","69","27","-"," ","FinTech","","","","","","","",""
"Grove Ventures","Tel Aviv","Grove Ventures is an early-stage VC which partners with entrepreneurs who believe that the Deep Future is now and are ready to build it.","https://www.grovevc.com","https://www.linkedin.com/company/grove-ventures","Early Stage Venture, Late Stage Venture, Seed, Venture","75 050","2016-10-26","https://www.crunchbase.com/organization/grove-ventures","Artificial Intelligence (AI), Software, Machine Learning, Semiconductor, Health Care, SaaS, Computer, Analytics, Big Data, Information Technology","$1 626 300 000","6","0","65","27","Tal@grovevc.com"," ","Fitness","","","","","","","",""
"Trendlines Group","Misgav","Trendlines Group invents, discovers, invests in, and incubates innovation-based medical and agrifood technologies.","http://www.trendlines.com","http://www.linkedin.com/company/trendlines","Early Stage Venture, Late Stage Venture, Seed","120 695","1993-01-09","https://www.crunchbase.com/organization/trendlines-group","Health Care, Biotechnology, Medical Device, Medical, AgTech, Agriculture, Food and Beverage, Manufacturing, Therapeutics, Information Technology","","4","0","65","13","info@trendlines.com"," ","Food and Beverage","","","","","","","",""
"Elron Ventures","Tel Aviv","Elron Ventures is an early-stage investor committed to turning promising ideas into global industry leaders.","https://elronventures.com","https://www.linkedin.com/company/elron-ventures/","Early Stage Venture, Late Stage Venture, Seed","384 135","1961-10-20","https://www.crunchbase.com/organization/elron-electronic-industries","Information Technology, Cyber Security, Medical Device, Health Care, Software, Network Security, SaaS, Security, Internet, Cloud Security","","3","0","64","27","info@elron.com"," ","Food Processing","","","","","","","",""
"2B Angels","Tel Aviv","2B Angels is an Israeli venture capital fund that invests in technology startups and entrepreneurs.","http://www.2b-angels.com","https://www.linkedin.com/company/2b-angels","Early Stage Venture, Late Stage Venture, Seed, Venture","504 665","2009-01-01","https://www.crunchbase.com/organization/2b-angels","Software, Artificial Intelligence (AI), SaaS, E-Commerce, Video, Internet, Content, Machine Learning, Big Data, Enterprise Software","","0","0","62","8","info@2b-angels.com"," ","Fraud Detection","","","","","","","",""
"MoreVC","Ra'anana","MoreVC invests in seed and early stage Israeli technology start-ups, partnering with entrepreneurs who are building companies that matter.","http://www.morevc.com","https://www.linkedin.com/company/morevc/","Early Stage Venture, Seed","48 921","2006-01-01","https://www.crunchbase.com/organization/israel-cleantech-ventures","Software, Energy, Renewable Energy, Manufacturing, Cyber Security, SaaS, Analytics, Biotechnology, Food Processing, Artificial Intelligence (AI)","","2","0","60","20","karen@morevc.com"," ","Gaming","","","","","","","",""
"Phoenix Financial","Tel Aviv","Israeli financial services group with broad insurance, investment, asset management, credit, and distribution activities","https://www.fnx.co.il/","https://www.linkedin.com/company/phoenixfinancialltd/about/","Debt, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Venture","76 836","1950-06-01","https://www.crunchbase.com/organization/phoenix-insurance-company","Software, Artificial Intelligence (AI), FinTech, Cyber Security, Health Care, SaaS, Machine Learning, Information Technology, E-Commerce, Biotechnology","","2","0","60","8","-"," ","Generative AI","","","","","","","",""
"Hetz Ventures","Tel Aviv","Hetz Ventures is a venture capital firm that focuses on deep technology startups.","http://hetz.vc","https://www.linkedin.com/company/hetz-ventures","Early Stage Venture, Seed","2 067","2018-01-01","https://www.crunchbase.com/organization/hetz-ventures","Software, Artificial Intelligence (AI), Information Technology, Developer Tools, Machine Learning, SaaS, E-Commerce, Cyber Security, Cloud Security, Developer APIs","$1 093 200 000","12","2","59","27","contact@hetz.vc"," ","Genetics","","","","","","","",""
"Viola Growth","Herzliya","Viola Growth is a technology growth capital fund, focusing on investing in global technology companies at expansion phase.","http://www.viola-group.com/fund/violagrowth","https://www.linkedin.com/company/881853","Early Stage Venture, Late Stage Venture, Venture","35 210","2008-01-01","https://www.crunchbase.com/organization/violagrowth","Software, Artificial Intelligence (AI), Health Care, SaaS, Medical Device, E-Commerce, Enterprise Software, Advertising, Medical, Analytics","$2 220 300 000","3","0","59","33","info@viola-group.com"," ","Hardware","","","","","","","",""
"Cyberstarts","Mikhmoret","Cyberstarts is an early-stage cybersecurity-focused venture capital firm.","http://www.cyberstarts.com","https://www.linkedin.com/company/28614764","Early Stage Venture, Late Stage Venture, Seed","683","2018-04-01","https://www.crunchbase.com/organization/cyberstarts","Cyber Security, Network Security, Information Technology, Software, Security, Artificial Intelligence (AI), Cloud Security, Enterprise Software, Fraud Detection, Blockchain","$5 777 000 000","7","2","58","20","deals@cyberstarts.com"," ","Health Care","","","","","","","",""
"Cardumen Capital","Tel Aviv","Global VC and Asset Management company present in Europe & Israel investing in world-class founders who bring the future into the present.","https://www.cardumencapital.com","https://www.linkedin.com/company/cardumencapital/","Early Stage Venture","2 679","2017-01-01","https://www.crunchbase.com/organization/cardumen-capital-sgeic-sa","Software, Artificial Intelligence (AI), SaaS, Information Technology, Machine Learning, Enterprise Software, Productivity Tools, Generative AI, Analytics, Semiconductor","$530 170 000","6","3","58","15","info@cardumencapital.com"," ","Health Diagnostics","","","","","","","",""
"Triventures","Herzliya","Triventures is a venture capital fund, which invests in disruptive ventures in digital health, healthcare and beyond.","https://www.triventures.vc","https://www.linkedin.com/company/triventures","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","28 644","2010-01-01","https://www.crunchbase.com/organization/triniventures","Health Care, Medical Device, Medical, Wellness, Biotechnology, Software, Fitness, Machine Learning, Artificial Intelligence (AI), Personal Health","","2","0","56","17","info@triventures.vc"," ","Information Technology","","","","","","","",""
"State of Mind Ventures","Tel Aviv","SOMV is an Israeli venture capital firm specializing in early-stage investments.","https://somv.com/","https://www.linkedin.com/company/state-of-mind-ventures","Early Stage Venture, Late Stage Venture, Seed","77 114","2016-01-01","https://www.crunchbase.com/organization/state-of-mind-ventures","Artificial Intelligence (AI), Software, Information Technology, SaaS, Machine Learning, Network Security, Security, Analytics, Internet, Cyber Security","","2","0","51","17","info@somv.com"," ","InsurTech","","","","","","","",""
"Jibe Ventures","Tel Aviv","Jibe Ventures is an early-stage fund that backs Israeli entrepreneurs driven by technology and with global ambitions.","https://www.jibevc.com/","https://www.linkedin.com/company/jibe-ventures/","Seed","32 469","2020-01-01","https://www.crunchbase.com/organization/jibe-ventures","Artificial Intelligence (AI), Software, SaaS, Information Technology, Health Care, E-Commerce, Cyber Security, Machine Learning, Gaming, Marketing","$816 100 000","9","2","50","9","danny@jibevc.com"," ","Internet","","","","","","","",""
"Tal Ventures","Tel Aviv","Tal Ventures is an Israeli-based venture capital firm investing in early stage and growth companies.","https://www.tal-ventures.com/","https://www.linkedin.com/company/tal-ventures","Early Stage Venture, Late Stage Venture, Seed","22 674","2021-01-01","https://www.crunchbase.com/organization/tal-ventures","Software, Artificial Intelligence (AI), SaaS, Machine Learning, Information Technology, E-Commerce, Biotechnology, Generative AI, Logistics, Apps","","6","1","48","14","info@tal-ventures.com"," ","Life Science","","","","","","","",""
"Moneta VC","Tel Aviv","An Israeli VC specializing in Fintech and Insurtech, investing globally from seed to growth stages","https://www.monetavc.com/","https://www.linkedin.com/company/monetavc/","Early Stage Venture, Late Stage Venture, Seed","9 151","2015-01-01","https://www.crunchbase.com/organization/moneta-seeds","FinTech, Financial Services, Software, Artificial Intelligence (AI), Finance, Machine Learning, InsurTech, Payments, Mobile Payments, Cyber Security","$694 300 000","5","1","47","13","info@monetavc.com"," ","Logistics","","","","","","","",""
"Rhodium","Herzliya","Rhodium is a private investment firm, our focus areas include Impact, Internet, Deep Tech and Space","http://www.rhodium.co.il","http://www.linkedin.com/company/rhodium","Convertible Note, Early Stage Venture, Secondary Market, Seed, Venture","243 355","2008-01-01","https://www.crunchbase.com/organization/rhodium","Internet, Financial Services, Software, Advertising, FinTech, Food and Beverage, Blockchain, E-Commerce, Marketing, Content","","2","0","47","9","website@rhodium.co.il"," ","Machine Learning","","","","","","","",""
"Sarona Ventures","Tel Aviv","Sarona Ventures is the evolution of the venture arm of the Bouaziz single family office. Investing in AI-driven enterprise software.","https://www.sarona.vc/","https://www.linkedin.com/company/sarona-partners","Early Stage Venture, Seed","23 845","2019-01-01","https://www.crunchbase.com/organization/sarona-ventures","Software, Artificial Intelligence (AI), Information Technology, SaaS, Analytics, Real Estate, Marketing, Health Care, Machine Learning, Big Data","","1","2","46","2","-"," ","Manufacturing","","","","","","","",""
"New Era Capital Partners","Tel Aviv","New Era Capital Partners is a venture capital firm that invests in technology-focused and global enterprises.","https://www.neweracp.com/","https://www.linkedin.com/company/neweracp/","Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture","9 393","2018-01-01","https://www.crunchbase.com/organization/new-era-capital-partners","Artificial Intelligence (AI), Software, SaaS, Information Technology, Cyber Security, Biotechnology, Natural Language Processing, Health Care, Recruiting, Machine Learning","$1 214 000 000","9","2","44","16","Office@neweracp.com"," ","Marketplace","","","","","","","",""
"Anthill Ventures","Tel Aviv","Anthill Ventures is a Speed Scaling Ecosystem which helps early growth startups in Pre-Series 'A'. We source, invest, scale and syndicate.","http://anthillventures.com/","https://www.linkedin.com/company/anthill-ventures/","Convertible Note, Early Stage Venture, Seed","275 408","2014-01-20","https://www.crunchbase.com/organization/anthill-ventures","E-Commerce, Software, Food and Beverage, Health Care, Artificial Intelligence (AI), Information Technology, SaaS, Internet, Marketplace, Analytics","","2","0","43","15","info@anthillventures.com"," ","Marketing","","","","","","","",""
"JAL Ventures","Herzliya","JAL Ventures invests in early revenue stage start ups in Israel","http://www.jalventures.com/","https://www.linkedin.com/company/jal-ventures-fund","Early Stage Venture, Seed","125 647","2016-01-01","https://www.crunchbase.com/organization/jal-ventures","SaaS, Software, Artificial Intelligence (AI), Information Technology, E-Commerce, Analytics, Cloud Security, Cyber Security, Security, Machine Learning","","3","0","42","19","info@jalventures.com"," ","Medical","","","","","","","",""
"S Capital","Tel Aviv","S Capital gives Israeli entrepreneurs a set of tools designed to help them in the market.","https://scapitalvc.com/","https://www.linkedin.com/company/11834235","Early Stage Venture, Seed","5 214","2018-03-01","https://www.crunchbase.com/organization/s-capital","Software, Artificial Intelligence (AI), Cyber Security, SaaS, Network Security, Machine Learning, Financial Services, Information Technology, Internet, Marketing","$1 654 200 000","4","2","41","19","contact@scapitalvc.com"," ","Medical Device","","","","","","","",""
"Qumra Capital","Tel Aviv","Qumra Capital is a growth capital fund that invests in late-stage technology-driven companies.","http://qumracapital.com","https://www.linkedin.com/company/qumra-capital","Late Stage Venture","11 130","2012-01-01","https://www.crunchbase.com/organization/qumra-capital","Software, Artificial Intelligence (AI), Machine Learning, Analytics, Cyber Security, SaaS, Enterprise Software, Health Care, Advertising, Information Technology","","4","1","41","22","info@qumracapital.com"," ","Mobile","","","","","","","",""
"MizMaa Ventures","Tel Aviv","MizMaa is working with the deep technology innovators emerging from Israel’s high tech sector.","http://www.mizmaa.com","https://www.linkedin.com/company/11184619/admin/updates/","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","23 355","2016-01-01","https://www.crunchbase.com/organization/mizmaa-ventures","Software, Artificial Intelligence (AI), Information Technology, Network Security, Cyber Security, Computer, Analytics, SaaS, Automotive, Internet","","2","1","41","28","-"," ","Mobile Apps","","","","","","","",""
"Terra Venture Partners","Jerusalem","Terra Venture Partners is the leading Israeli multi-stage fund investing in and incubating novel clean technology companies.","http://www.terravp.com","http://www.linkedin.com/company/terra-venture-partners","Early Stage Venture","333 092","2006-01-01","https://www.crunchbase.com/organization/terra-venture-partners","Artificial Intelligence (AI), Health Care, Machine Learning, Software, Information Technology, Manufacturing, Medical Device, Solar, SaaS, Medical","","0","0","41","12","info@terralb.com"," ","Mobile Payments","","","","","","","",""
"Israel Seed Partners","Jerusalem","Israel Seed Partners takes a hands-on approach to supporting and nurturing seed-stage investments.","http://www.israelseed.com","-","Early Stage Venture, Late Stage Venture","1 177 642","1995-01-01","https://www.crunchbase.com/organization/israel-seed-partners","Software, Information Technology, Internet, E-Commerce, Security, Enterprise Software, Network Hardware, Health Care, Social Media, Hardware","","0","0","41","3","webmaster@israelseed.com"," ","Natural Language Processing","","","","","","","",""
"Emerge Ventures","Tel Aviv","Emerge Ventures partners with technology innovators and provides early-stage venture capital funding.","https://emerge.ventures/","https://www.linkedin.com/company/emerge-vc","Early Stage Venture","8 137","2015-01-01","https://www.crunchbase.com/organization/emerge-4","Software, Artificial Intelligence (AI), Machine Learning, Analytics, Information Technology, Health Care, Cyber Security, SaaS, Network Security, Identity Management","$751 900 000","2","2","40","11","hi@emerge.ventures"," ","Network Security","","","","","","","",""
