VC Firm,Stage,New meetings?,New terms sheets?,Areas of Interest,Check Size,Lead/Co-invest,Notes,Location,Last Modified
,,,,,,,,,
*Disclaimer,,,,,,," User generated list, not moderated by DocSend beyond merging duplicate entries and removing abusive language. This list does not reflect DocSend's views and opinions and we do not guarantee or imply that it's accurate.",,2020-04-17T19:23:20.000Z
** Created by DocSend,,,,Want to add a VC? Go here: https://www.docsend.com/index/active-vc-list/,,,Copyright © 2020 DocSend. All Rights Reserved.,,2020-05-02T22:26:13.000Z
7BC Venture Capital,Series A,Taking new meetings,Offering new term sheets,"AI, FinTech, Software Infrastructure & B2B software",,,,"San Francisco, California, United States",2020-05-02T22:28:13.000Z
406 Ventures,Seed,Taking new meetings,Offering new term sheets,"SaaS, Security, Media/Content, Female Founders",$2M - $5M,"Lead, Co-Invest",,"Boston, Massachusetts, United States",2020-05-02T22:30:08.000Z
Next Ventures,Series A,Taking new meetings,Offering new term sheets,"Minority Founders, E-Commerce, Gaming/Sports, Healthcare, Wellness",$500K-$5M,,Looking at companies with recurring revenue,"London, England, United Kingdom",2020-05-02T22:32:29.000Z
Blossom Capital,Series A,Taking new meetings,Offering new term sheets,,,,,"London, England, United Kingdom",2020-05-02T22:32:29.000Z
General Catalyst,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,"Cambridge, Massachusetts, United States",2020-05-02T22:32:29.000Z
Battery Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"Application software, IT Infrastructure, consumer internet, IT, tech-enable services",,,,"Boston, Massachusetts, United States",2020-05-02T22:32:29.000Z
Icon Ventures,"Series B, Series C",Taking new meetings,Offering new term sheets,,,,,"Palo Alto, California, United States",2020-05-02T22:32:29.000Z
Sierra Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,Investing in Next Generation Enterprise and Emerging Technologies,,,More about our Thesis - https://www.sierraventures.com/thesis/,"San Mateo, California, United States",2020-05-02T22:32:29.000Z
AgFunder,"Seed, Series A, Series B",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Foodtech and Agtech,$50-$5M,,Looking at companies from pre-revenue to 250K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
AlleyCorp,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$100K-$5M,,Looking at companies from the idea stage to 50K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Arbor Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"E-Commerce, Marketplace, Fintech, Insuretech, Cybersecurity, Healthcare, AI/ML",$100K-$10M,"Lead, Co-Invest",Looking at companies from pre-revenue to 500K+ in MRR,"Hong Kong, Hong Kong Island, Hong Kong",2020-05-02T22:32:29.000Z
Big Idea Ventures,Pre-Seed,Taking new meetings,Offering new term sheets,Food/Beverage,$100K-500K,,Looking at companies from pre-product to those that have recurring revenue,"New York, New York, United States",2020-05-02T22:32:29.000Z
Brand Foundry Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Direct To Consumer, Consumer Software, CPG, Female Founders, E-Commerce, AR/VR, Gaming/Sports, Marketplace, Media and Entertainment, Food/Beverage, Healthcare, Wellness, Future of Work, Sustainability",$500K-$5M,"Lead, Co-Invest",Looking at companies that are pre-revenue,"New York, New York, United States",2020-05-02T22:32:29.000Z
Capital Technologies,"Series B, Series C",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$5M-$10M+,,Looking at companies with recurring revenue with  500k+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Civilization Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,BioTech/Healthcare,,Lead,Typically the lead investor of the first institutional round for a company,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Comcast Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Direct To Consumer, Consumer Software, CPG, E-Commerce, Marketplace, PropTech, Social Media, Fintech, Insuretech, Food/Beverage, Healthcare, Wellness, Future of Work, Mobility, Sustainability",$50-$10M+,"Lead, Co-Invest",Looking at companies from the pre-product stage through to those with 500k+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Contour Ventures,Seed,Taking new meetings,Offering new term sheets,Fintech/SaaS/Digital Media,$500K-$5M,Lead,Looking at in the B2B/SaaS space,"New York, New York, United States",2020-05-02T22:32:29.000Z
Creative Ventures,Seed,Taking new meetings,Offering new term sheets,"Enterprise Software, AR/VR, Food/Beverage, Hardware, Healthcare, Mobility, Sustainability, AI/ML, Life Sciences",$50-$5M,,Looking at companies from pre-product to those that have shown product-market fit,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Darling Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Enterprise Software, Minority Founders, Female Founders, PropTech, Social Impact, Legal, Fintech, Insuretech, Healthcare, Future of Work, Mobility, Sustainability, Life Sciences, Cloud Computing, AI/ML",$100K-500K,,Looking at companies from pre-revenue to those with 500K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Data Point Capital,Series A,Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, E-Commerce, Marketplace, Fintech, Cybersecurity, AI/ML",$1M-5M,,Looking at companies with 100K+ in MRR,"Boston, Massachusetts, United States",2020-05-02T22:32:29.000Z
EchoVC Partners,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Minority Founders, Female Founders",$50-$5M,"Lead, Co-Invest",Looking at companies who have shown product-market fit to those with 15K+ in MRR,"Lagos, Lagos, Nigeria",2020-05-02T22:32:29.000Z
Empowerment Capital,Series A,Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$100K-$5M,,Looking at companies with recurring revenue up to 250K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Evolution VC Partners,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$50-$1M,,Looking at companies with recurring revenue up to 250K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Fin VC,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Enterprise Software, PropTech, Fintech, Insuretech, Cloud Computing, AI/ML, FinTech - b2b & SaaS Focus",$50-$10M+,"Lead, Co-Invest",Looking at companies with recurring revenue up to 100K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Forefront Venture Partners,"Seed, Series A",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$500K-1M,,Looking at companies that are pre-product to those that have shown product-market fit,"Boca Raton, Florida, United States",2020-05-02T22:32:29.000Z
Fusion Fund,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, Insuretech, Cybersecurity, Healthcare, Future of Work, Mobility, Cloud Computing, AI/ML",$100K-$5M,,Looking at companies from pre-revenue to 15K+ in MRR,"Palo Alto, California, United States",2020-05-02T22:32:29.000Z
Future Ventures,"Pre-Seed, Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Hardware, Fintech, Future of Work, Mobility, Sustainability, Life Sciences, Cloud Computing, AI/ML",$100K-$10M,,Looking at companies from the idea stage to those with recurring revenue,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Genesis Investments,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Enterprise Software, Consumer Software, Female Founders, E-Commerce, Adtech, Gaming/Sports, Marketplace, Social Media, Media and Entertainment, Insuretech, Healthcare, Wellness, HR, Education, Future of Work, AI/ML",$100K-500K,,Looking at companies from pre-revenue to those with 15K+ in MRR,"Kiev, Kyyivs'ka Oblast', Ukraine",2020-05-02T22:32:29.000Z
Germin8 Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"Food/Beverage, Sustainability, Life Sciences",$100K-$1M,,Looking at companies from pre-revenue to 500K+ in MRR,"Chicago, Illinois, United States",2020-05-02T22:32:29.000Z
Glasswing Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Enterprise Software, CPG, Minority Founders, Female Founders, E-Commerce, Adtech, AR/VR, Gaming/Sports, Marketplace, Media and Entertainment, Legal, Fintech, Insuretech, Safety, Cybersecurity, HR, Future of Work, Mobility, Cloud Computing, AI/ML",$100K-$5M,,Looking at companies from the idea stage to those with 100K+ in MRR,"Boston, Massachusetts, United States",2020-05-02T22:32:29.000Z
Global Founders Capital,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Enterprise Software, CPG, Minority Founders, Female Founders, E-Commerce, Adtech, AR/VR, Gaming/Sports, Marketplace, Media and Entertainment, Legal, Fintech, Insuretech, Safety, Cybersecurity, HR, Future of Work, Mobility, Cloud Computing, AI/ML",$100K-$10M+,"Lead, Co-Invest",Looking at companies from the idea stage to those with 500K+ in MRR,"Berlin, Berlin, Germany",2020-05-02T22:32:29.000Z
Gorilla Capital,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Enterprise Software, Minority Founders, Female Founders, E-Commerce, Adtech, Marketplace, Legal, Fintech, Insuretech, Safety, Cybersecurity, Public Safety, HR, Future of Work, Mobility, Cloud Computing",$50-$500K,,Looking at companies from pre-revenue to 50K+ in MRR,"Helsinki, Finland",2020-05-02T22:32:29.000Z
Greylock Partners,"Pre-Seed, Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, Consumer Software, Minority Founders, Female Founders, E-Commerce, Adtech, Marketplace, Social Media, Fintech, Cybersecurity, Healthcare, HR, Mobility, Cloud Computing, AI/ML",$100K-$10M+,"Lead, Co-Invest",Looking at companies from the idea stage to those with 500K+ in MRR,"Menlo Park, California, United States",2020-05-02T22:32:29.000Z
IDEA Fund Partners,"Seed, Series A",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$500K-$5M,"Lead, Co-Invest",Looking at companies with 15K to 100K+ in MRR,"Durham, North Carolina, United States",2020-05-02T22:32:29.000Z
Impact Engine,"Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, Social Impact, Fintech, Healthcare, HR, Education, Future of Work, Sustainability",$100K-500K,Co-Invest,Looking at companies with 15K to 250K+ in MRR,"Chicago, Illinois, United States",2020-05-02T22:32:29.000Z
Javelin Venture Partners,"Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, Consumer Software, Gaming/Sports, Marketplace, PropTech, Legal, Fintech, Insuretech, Education, Future of Work",$1M-5M,"Lead, Co-Invest",Looking at companies from 15K+ to 500K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Konvoy Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Gaming/Sports, Media and Entertainment",$100K-$1M,,Looking at companies from pre-revenue to 250K+ in MRR,"Denver, Colorado, United States",2020-05-02T22:32:29.000Z
Marigold Capital,"Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, Consumer Software, CPG, Minority Founders, Female Founders, Social Impact, Healthcare, Wellness, Education, Future of Work, Mobility, Sustainability",$100K-$1M,,Looking at companies with 15K to 50K+ in MRR,"Toronto, Ontario, Canada",2020-05-02T22:32:29.000Z
Matrix Partners,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$100K-$10M,Lead,Looking at companies from the idea stage to those with up to 100K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
MDC Ventures,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, Minority Founders, Female Founders, E-Commerce, Adtech, Lifestyle, Marketplace, Media and Entertainment, Wellness, Future of Work, AI/ML",$100K-$5M,,Looking at companies from pre-product to those with 100K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
MetaProp Ventures,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, PropTech, Sustainability",$500K-$5M,"Lead, Co-Invest",Looking at companies from the idea stage to those with 500K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Mighty Capital,"Series A, Series B, Series C",Taking new meetings,Offering new term sheets,"Enterprise Software, Consumer Software, E-Commerce, Adtech, Gaming/Sports, Marketplace, PropTech, Media and Entertainment, Fintech, Insuretech, Safety, Cybersecurity, Healthcare, Wellness, Education, Future of Work, Life Sciences, Cloud Computing, AI/ML",$500K-1M,Co-Invest,Looking at companies with 00K to 5000K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Neue Fund,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Social Impact, Healthcare, Wellness, HR, Education, Sustainability, Life Sciences",$50-100K,,Looking at companies from pre-revenue to 100K+ in MRR,"Miami Beach, Florida, United States",2020-05-02T22:32:29.000Z
Wing VC,"Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, Future of Work, Cloud Computing, AI/ML",$500K-$10M,,Looking at companies from pre-revenue to those that have 500K+ in MRR,"Menlo Park, California, United States",2020-05-02T22:32:29.000Z
Nine Four Ventures ,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"PropTech, Fintech, Insuretech",$100K-$10M+,"Lead, Co-Invest",Looking at companies that have shown product market fit to those with up to 500K+ in MRR,"Chicago, Illinois, United States",2020-05-02T22:32:29.000Z
Open Prairie Rural Opportunities Fund,"Series A, Series B",Taking new meetings,Offering new term sheets,"Food/Beverage, Life Sciences",$1M-$10M,,Looking at companies with 500K+ in MRR,"Champaign, Illinois, United States",2020-05-02T22:32:29.000Z
Pear VC,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$100K-$5M,,Looking at companies from the idea stage to those with recurring revenue up to 250K+ in MRR,"Palo Alto, California, United States",2020-05-02T22:32:29.000Z
Pelion Venture Partners,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, Consumer Software, E-Commerce, Gaming/Sports, Marketplace, Fintech, Insuretech, Cybersecurity, Cloud Computing",$500K-$10M,,Looking at companies that are pre-revenue to those that have shown product-market fit,"Salt Lake City, Utah, United States",2020-05-02T22:32:29.000Z
Plum Alley Ventures,"Series A, Series B",Taking new meetings,Offering new term sheets,"Enterprise Software, Female Founders, AR/VR, Hardware, Public Safety, Healthcare, Education, Sustainability, Life Sciences, Cloud Computing, AI/ML",$500K-$5M,,Looking at companies with recurring revenue up to 500K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
R3i Ventures LLC,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, Female Founders, AR/VR, PropTech, Hardware, Fintech, Insuretech, Cybersecurity, Public Safety, Healthcare, Cloud Computing, AI/ML",$50-$1M,,Looking at companies from the idea stage to 50K+ in MRR,"Singapore, Central Region, Singapore",2020-05-02T22:32:29.000Z
Rebel Fund ,Seed,Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$100K-$1M,Co-Invest,Looking at companies with recurring revenue,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Red Sea Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Direct To Consumer, Enterprise Software, Consumer Software, CPG, Minority Founders, Female Founders, E-Commerce, Lifestyle, AR/VR, Gaming/Sports, Marketplace, PropTech, Social Media, Hardware, Media and Entertainment, Social Impact, Legal, Fintech, Insuretech, Safety, Cybersecurity, Public Safety, Food/Beverage, Healthcare, Wellness, HR, Education, Future of Work, Mobility, Sustainability, Life Sciences, AI/ML",$500K-1M,,Looking at companies from idea stage through to those with 250K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Rhino Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Direct To Consumer, Enterprise Software, Consumer Software, Minority Founders, Female Founders, E-Commerce, Adtech, Gaming/Sports, Marketplace, PropTech, Social Impact, Legal, Fintech, Insuretech, Food/Beverage, Healthcare, Wellness, HR, Education, Future of Work",$1M-$5M,,Looking at companies that have shown product market fit to those with up to 500K+ in MRR,"Vancouver, British Columbia, Canada",2020-05-02T22:32:29.000Z
Robin Hood Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Direct To Consumer, Enterprise Software, Consumer Software, Minority Founders, Female Founders, E-Commerce, Adtech, AR/VR, Marketplace, PropTech, Social Media, Hardware, Fintech, Insuretech, Cybersecurity, Public Safety, Healthcare, HR, Education, Future of Work, Mobility, Sustainability, Life Sciences, Cloud Computing, AI/ML",$100K-$1M,,Looking at companies from pre-revenue to those with recurring revenue,"Philadelphia, Pennsylvania, United States",2020-05-02T22:32:29.000Z
Rocana Ventures,"Series A, Series B",Taking new meetings,Offering new term sheets,"Direct To Consumer, CPG, AR/VR, Hardware, Food/Beverage, Wellness, Mobility",$100K-$5M,,Looking at companies with 100K+ in MRR,"California, Kentucky, United States",2020-05-02T22:32:29.000Z
Romulus Capital,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Enterprise Software, E-Commerce, Adtech, Marketplace, PropTech, Hardware, Media and Entertainment, Legal, Fintech, Insuretech, Safety, Cybersecurity, Public Safety, Food/Beverage, Healthcare, Education, Future of Work, Mobility, Sustainability, Cloud Computing, AI/ML",$100K-$10M+,"Lead, Co-Invest",Looking at companies from pre-revenue to 250K+ in MRR,"Cambridge, Massachusetts, United States",2020-05-02T22:32:29.000Z
Runway Venture Partners,Series A,Taking new meetings,Offering new term sheets,"Enterprise Software, PropTech, Fintech, Insuretech, Healthcare, AI/ML",$500K-1M,,Looking at companies 50K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Saola Ventures,"Series A, Series B",Taking new meetings,Offering new term sheets,"Consumer Software, CPG, Future of Work, Sustainability",,Co-Invest,Invest in companies with 250K+ in MRR,,2020-05-02T22:32:29.000Z
Sony Innovation Fund,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Direct To Consumer, Enterprise Software, Consumer Software, AR/VR, Gaming/Sports, Social Media, Hardware, Media and Entertainment, Cybersecurity, Healthcare, Wellness, HR, Education, Future of Work, Mobility, Life Sciences, Cloud Computing, AI/ML",$500K-$5M,Co-Invest,Looking at companies from pre-revenue to 500K+ in MRR,"Tokyo, Tokyo, Japan",2020-05-02T22:32:29.000Z
Spring Mountain Capital,"Series A, Series B",Taking new meetings,Offering new term sheets,"Enterprise Software, E-Commerce, Marketplace, PropTech, Fintech, Insuretech, Future of Work",$1M-$10M,Lead,Looking at companies with 500K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Swing Ventures,Pre-Seed,Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$50-100K,,Looking at companies who are pre-product and pre-revenue,"New York, New York, United States",2020-05-02T22:32:29.000Z
Tacitus Ventures,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$50-100K,Co-Invest,Looking at companies from pre-revenue to 500K+ in MRR,,2020-05-02T22:32:29.000Z
The Craftory,"Series B, Series C",Taking new meetings,Offering new term sheets,"Direct To Consumer, CPG, E-Commerce, Food/Beverage",$10M+,Lead,Looking at companies with 500k+ in MRR,"London, England, United Kingdom",2020-05-02T22:32:29.000Z
True Wealth Ventures,Seed,Taking new meetings,Offering new term sheets,"Direct To Consumer, Consumer Software, CPG, Female Founders, E-Commerce, Marketplace, Hardware, Social Impact, Food/Beverage, Healthcare, Wellness, Sustainability",$500K-1M,,Looking at companies from pre-product to those that have 15K+ in MRR,"Austin, Texas, United States",2020-05-02T22:32:29.000Z
Unilever Ventures,"Series A, Series B",Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, Consumer Software, CPG, Lifestyle, Social Impact, Healthcare, Wellness, HR, Future of Work, AI/ML",$1M-5M,,Looking at companies that have shown product market fit to those with up to 250K+ in MRR,"London, England, United Kingdom",2020-05-02T22:32:29.000Z
Voice Punch VC,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Adtech, Lifestyle, AR/VR, Gaming/Sports, Marketplace, PropTech, Social Media, Media and Entertainment, Legal, Fintech, Public Safety, Food/Beverage, Healthcare, Wellness, Education, Future of Work, Mobility, Life Sciences, AI/ML",$100K-500K,,Looking at companies from the idea stage to those with 100K+ in MRR,"Santa Monica, California, United States",2020-05-02T22:32:29.000Z
WIHarper Group,"Series A, Series B",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Enterprise Software, Hardware, Fintech, Insuretech, Mobility, Sustainability, Life Sciences, Cloud Computing, AI/ML",$1M-5M,,Looking at companies that have shown a clear product-market fit,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Bayes Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Digital health, B2B, hard tech",,,,"New York, New York, United States",2020-05-02T22:32:29.000Z
Citi Ventures,"Series A, Series B",Taking new meetings,Offering new term sheets,"Fintech, Enterprise, AI, Analytics, Payments, Marketing automation",,,Writes checks from $1M - $10M+,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Two Sigma Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,"New York, New York, United States",2020-05-02T22:32:29.000Z
Plaza Ventures,"Series A, Series B",Taking new meetings,Offering new term sheets,,,,,"Toronto, Ontario, Canada",2020-05-02T22:32:29.000Z
B Capital Group,"Series A, Series B",Taking new meetings,Offering new term sheets,"AgTech, AI, Cars/Autonomous vehicles, Enterprise, Robotics, SaaS, Distributed Workforce, Healthcare, Marketing automation, Retail",,,"Writes checks from $3M to $10M+, looking at companies who have achieved early traction with customers and have reached a point of rapid growth","Manhattan Beach, California, United States",2020-05-02T22:32:29.000Z
Candy Ventures,"Seed, Series A",Taking new meetings,Unknown if offering term sheets,,,,,"Luxembourg, Luxembourg, Luxembourg",2020-05-02T22:32:29.000Z
Runa Capital,"Series A, Series B",Taking new meetings,Offering new term sheets,"B2B SaaS, machine intelligence, complex software, IT, fintech, edtech, and digital health",$1M - $5M,,,"Palo Alto, California, United States",2020-05-02T22:32:29.000Z
Earnest Capital,Seed,Taking new meetings,Offering new term sheets,,,,,"Jackson St Forest, California, United States",2020-05-02T22:32:29.000Z
Mubadala Capital - Ventures,Series A,Taking new meetings,Offering new term sheets,,,,,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-05-02T22:32:29.000Z
Brick & Mortar Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"Software and hardware solutions for architecture, engineering, construction and facilities management",,,,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
NorthStar Venture Partners,"Series A, Series B",Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, Consumer Software",$1M-$10M+,,Looking at companies from 15K to 500K in MRR,"New York, Southern California, Florida",2020-05-02T22:32:29.000Z
Off The Grid Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Enterprise Software, Minority Founders, Female Founders, AR/VR, Marketplace, PropTech, Legal, Fintech, Insuretech, Cybersecurity, HR, Education, Future of Work",$50-100K,,Looking at companies from pre-revenue to 500K in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Atypical,Pre-Seed,Taking new meetings,Offering new term sheets,"DeepTech, AI/ML, API-first, Cybersecurity",,,,"New York, New York, United States",2020-05-02T22:32:29.000Z
Evolv Ventures,Seed,Taking new meetings,Offering new term sheets,Focused on investments across the food value chain,,,,"Chicago, Illinois, United States",2020-05-02T22:32:29.000Z
Millennium,,Taking new meetings,Offering new term sheets,"Primary and secondary investments, enterprise and deep tech",,,,,2020-05-02T22:32:29.000Z
Valia Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,,,,,"New York, New York, United States",2020-05-02T22:32:29.000Z
Riot Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Synthetic data creation for ML, autonomous defense tech, bioengineering & communications infrastructure.",$500k-$1M,,,"Los Angeles, California, United States",2020-05-02T22:32:29.000Z
Dynamk Capital,"Seed, Series A",Taking new meetings,Offering new term sheets," Life Science Industrials only: tools, tech and services for biopharma discovery, development and manufacturing",,,,"New York, New York, United States",2020-05-02T22:32:29.000Z
W Fund,Seed,Taking new meetings,Offering new term sheets,Focused on females/underrepresented founders,,,Looking to make 1-2 seed investments in the next quarter,"Seattle, Washington, United States",2020-05-02T22:32:29.000Z
Navigate Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,Looking for early/mid growth stage enterprise SaaS companies,$100k-$5M,,,"Beverly Hills, California, United States",2020-05-02T22:32:29.000Z
Canvas Ventures,"Series A, Series B",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,OPen to offering term sheets for the right investment,"Portola Valley, California, United States",2020-05-02T22:32:29.000Z
Work-Bench,"Seed, Series A, Series B, Series C",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"B2B, Enterprise Software, SaaS",,,,"New York, New York, United States",2020-05-02T22:32:29.000Z
Newfund Capital,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Industry/Sector Agnostic,$300k-$2M,,,"Paris, Ile-de-France, France,California and France",2020-05-02T22:32:29.000Z
Morpheus Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,"Los Angeles, California, United States",2020-05-02T22:32:29.000Z
Abstraction Capital,Seed,Taking new meetings,Offering new term sheets,Focused on developer tools and software infrastructure,,,,"Mound City, Kansas, United States",2020-05-02T22:32:29.000Z
ReGen Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Regenerative technology companies with the intention to transform living systems to regenerate our planet within the next 10 years.,,,Actively looking for opportunities to deploy capital,Australia,2020-05-02T22:32:29.000Z
Chrysalix Venture Capital,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,Industrial Innovation - Intelligent Systems & Resource Productivity,,,,"Vancouver, British Columbia, Canada",2020-05-02T22:33:15.000Z
Energy Impact Partners,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,"New York, New York, United States",2020-05-02T22:33:46.000Z
Alpha Square Group,"Series B, Series C",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"TMT, Healthcare, and Real Estate sectors",,,,"New York, New York, United States",2020-05-02T22:34:51.000Z
Class 5 Global,Seed,Taking new meetings,Offering new term sheets,"Emerging Markets, FinTech, Marketplace, Transportation",,,,"San Francisco, California, United States",2020-05-02T22:36:16.000Z
Illuminate Ventures,Seed,Taking new meetings,Offering new term sheets,"Analytics, Big Data, Cloud Computing, Enterprise Software, Mobile, SaaS",,,,"Oakland, California, United States",2020-05-02T22:58:55.000Z
Maven Ventures,Seed,Taking new meetings,Offering new term sheets,"Consumer Software, Financial Services, Software",,,,"Palo Alto, California, United States",2020-05-02T23:00:09.000Z
nzt.capital,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Angel Investment, Blockchain, Finance, Impact Investing, Information Technology",,,,,2020-05-02T23:00:32.000Z
Work.Fund,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Future of Work, FinTech + HealthTech sectors",,,,"San Francisco, California, United States",2020-05-02T23:44:10.000Z
Outliers VC,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,,,Reach out to us at m@outliers.vc,"Riyadh, Saudi Arabia",2020-05-02T23:45:46.000Z
Uncorrelated Ventures,Pre-Seed,Taking new meetings,Offering new term sheets,open source; infrastructure software; crypto,,,Bain Capital spinout,"San Francisco, California, United States",2020-05-02T23:47:09.000Z
