"HQ","Fund Name","Linkedin","#","Website","Size","Size (€)","Size ($)","Geographic Focus","Sectors","Initial Ticket (EUR)","Stage","Date Raised","Month"
"Finland","Lifeline Ventures Fund VI","https://www.linkedin.com/company/lifeline-ventures/","VI","lifelineventures.com","€400 000 000","€400 000 000","$465 624 348","Europe","Agnostic","–","Pre-Seed, Seed, Series A","2025-10-21","Oct"
"France","Polytechnique Ventures II","https://www.linkedin.com/company/polytechnique-alumni/","II","polytechnique-ventures.fr","€21 000 000","€21 000 000","$24 445 278","France","AI; Healthtech; Energy; Fintech; Industrial Tech; DeepTech","€250k–€1M (up to €2M)","Pre-Seed, Seed","2025-10-21","Oct"
"United Kingdom","Esports Global Fund","","I","esportsglobal.com","€47 000 000","€47 000 000","$54 710 861","Global","Gaming; Esports","N/A (deal-specific)","Seed, Series A, Series B","2025-10-20","Oct"
"United Kingdom","Odyssey Ventures Fund I","","I","odyssey.ventures","€70 000 000","€70 000 000","$81 484 261","Europe","Advanced Materials; DeepTech; Industrial Tech","–","Pre-Seed, Seed, Series A","2025-10-15","Oct"
"United Kingdom","Spex Capital Fund I (Venture HealthTec…)","","I","spexcapital.com","€100 000 000","€100 000 000","$116 406 087","Europe; US","Healthtech; MedTech","up to €5M","Seed, Series A, Series B","2025-10-14","Oct"
"Italy","Maia Ventures Fund I","","I","maia.vc","€55 000 000","€55 000 000","$64 023 348","Europe","ClimateTech; FoodTech; AgriTech","€0.5M–€1.5M","Seed, Series A","2025-10-14","Oct"
"Netherlands","NP-Hard Ventures Fund II","","II","nphard.vc","€25 000 000","€25 000 000","$29 101 522","Europe","DeepTech; AI; Robotics; Defence","€0.25M–€0.55M","Pre-Seed, Seed","2025-10-11","Oct"
"Croatia","PCP SEE Fund II","https://www.linkedin.com/company/provectus-capital-partners/","II","provectus-capital.com","€162 500 000","€162 500 000","$189 159 891","SE; Croatia; Bulg…","B2B; Healthtech; B2C","€15–25M","Series A, Series B, Growth","2025-10-08","Oct"
"Germany","Verne Capital Fund I","","I","vernecapital.vc","€100 000 000","€100 000 000","$116 406 087","DACH; Ukraine","Defence; Cyber Security","–","Pre-Seed, Seed","2025-10-03","Oct"
"United Kingdom","Creator Fund (PhD Fund I)","","I","–","€38 000 000","€38 000 000","$44 234 313","Europe","AI; DeepTech; Life Sciences","~$0.75M","Pre-Seed, Seed","2025-10-03","Oct"
"Netherlands","Forward.one Fund III","https://www.linkedin.com/company/forward-one/","III","forward.one","€200 000 000","€200 000 000","$232 812 174","Benelux; DACH","Industrial Tech; Robotics; Semiconductors; DeepTech; ClimateTech; Hardware","€1–3M","Seed, Series A","2025-10-02","Oct"
"Austria","Blum Ventures (CVC)","-","I","n/a","","","","DACH; Nordics","Industry 4.0; Industrial Tech; IoT; Autonomous Systems","€0.5M–€3M","Pre-Seed, Seed, Series A","2025-10-01","Oct"
"France","Serena Fund IV","https://www.linkedin.com/company/serenavc/","IV","serena.vc","€200 000 000","€200 000 000","$232 812 174","Europe; France","AI; ClimateTech; Energy","€3M–€15M","Seed, Series A, Series B","2025-10-01","Oct"
"Poland","Expeditions Fund II","","II","expeditionsfund.com","€100 000 000","€100 000 000","$116 406 087","Europe","DeepTech; Defence; Cyber Security; SpaceTech","€0.25–5M","Pre-Seed, Seed, Series A","2025-10-01","Oct"
"United Kingdom","Concept Ventures Fund II","","II","conceptventures.vc…","","","","UK; Europe","Agnostic","up to $1.5M","","2025-09-30","Sep"
"Germany","May Ventures Fund I","","I","mayventures.vcequity.t…","","","","Germany; Europe","AI","N/A","","2025-09-30","Sep"
"Luxembourg","Notion Capital Growth Opportunities","","III","https://www.notion.vc/","","","","Europe","SaaS; AI; Defence; Fintech","N/A","","2025-09-30","Sep"
"United Kingdom","Creator Fund","","I","https://www.thecreator…","","","","Europe","AI; Robotics; DeepTech; Biotech","€750k","","2025-09-29","Sep"
"United Kingdom","Evantic Capital (Fund I)","","I","n/a (Evantic Capital)","","","","Europe; US; Israel","B2B; AI; Enterprise software","$20–50M","","2025-09-29","Sep"
"Netherlands","DFF Ventures Fund","","III","https://www.dff.venture…","","","","Europe","Marketplaces; SaaS; Ecommerce; AI","€250k–€2.5m","","2025-09-25","Sep"
"Greece","Big Pi Ventures Growth Fund I","","I","bigpi.vceu-startups.co…","","","","Greece","Agnostic","€7–20M","","2025-09-24","Sep"
"France","C4 Ventures Fund III","","III","https://c4v.com","","","","Europe","AI; DeepTech; Robotics; Hardware; Semiconductors","€3–5M","","2025-09-23","Sep"
"France","Ventech Capital VI","","VI","ventechvc.comvestbe…","","","","Europe","Industrial Tech; AI; Cyber Security; Healthtech","N/A","","2025-09-22","Sep"
"France","Jolt Capital Fund V","","V","https://www.jolt-capita…","","","","Europe","Industry 4.0; AI; DeepTech; Cyber Security; Mobility; Advanced Materials; Semiconductors","€10–50M","","2025-09-19","Sep"
"Poland","Vastpoint I","","I","vastpoint.vcvestbee.cc…","","","","CEE","AI; Healthtech","€500k–€750k","","2025-09-19","Sep"
"Latvia","Outlast Fund I","","I","outlastfund.comvestbee…","","","","Baltics; Nordics","Agnostic","up to €250k (pre-seed) / …","","2025-09-18","Sep"
"United Kingdom","BNVT Capital Fund I","","I","n/a (London-based)","","","","Europe; US","AI; ImpactTech; Agnostic","$3–7M","","2025-09-17","Sep"
"Czech Republic","Aspire11 Fund I","","I","aspire11cap.comvestbe…","","","","Europe","Agnostic","€10–30M","","2025-09-16","Sep"
"France","Kurma Biofund IV","","IV","https://www.kurmapart…","","","","Europe","Healthtech; Biotech","€5–10M","","2025-09-12","Sep"
"Switzerland","Una Terra Circular Economy Growth F…","","I","https://unaterra.vc","","","","Europe; MENA; U…","ClimateTech; Circular Economy","€2–5M","","2025-09-12","Sep"
"United Kingdom","Claret European Growth Capital Fund","","IV","https://claret-capital.co…","","","","Europe","Life Sciences; ClimateTech; DeepTech","Venture debt facilities (~…)","","2025-09-10","Sep"
"Austria","Speedinvest Continuation Fund I","","I","speedinvest.com…","","","","Europe","Agnostic","N/A","","2025-09-09","Sep"
"Germany","Vireo Ventures Electrification Fund I","","I","vireo.vcvestbee.com","","","","Europe","ClimateTech; Energy; Mobility","€500k–€1.4M","","2025-09-09","Sep"
"France","M2care","","I","https://www.m2.care","","","","France; Europe","Healthtech","€2–4M","","2025-09-03","Sep"
"Estonia","Siena Secondary Fund","","II","https://siena.ee/","","","","Baltics; CEE; Nor…","Agnostic","N/A","","2025-09-02","Sep"
"Switzerland","Lakestar Continuation Fund","","I","https://lakestar.com","","","","Europe","Agnostic","N/A","","2025-08-28","Aug"
"Denmark","byFounders Fund","","III","https://www.byfounder…","","","","Nordics; Baltics","Agnostic","N/A","","2025-08-26","Aug"
"Portugal","Ventures.eu Fund","","I","https://ventures.eu","","","","Europe","AI; DeepTech","€250k–€2M","","2025-08-25","Aug"
"Denmark","Salling Seeds","","I","https://sallinggroup.co…","","","","Baltics; Denmark","ClimateTech; RetailTech","€0.67M–€2.67M","","2025-08-20","Aug"
"United Kingdom","Clean Growth Fund","","II","https://cleangrowthfun…","","","","UK","ClimateTech; Energy; Mobility","€0.58M–€5.8M","","2025-08-18","Aug"
"Sweden","Norrsken Evolve","","I","https://norrskenevolve…","","","","Europe","AI; ClimateTech; Healthtech; Biotech; Robotics","€250k","","2025-08-18","Aug"
"Poland","Spire Capital Partners Fund I","","I","https://spirecap.eu","","","","CEE","Agnostic","€5M–€20M","","2025-08-14","Aug"
"Denmark","Delphinus Venture Capital","","I","https://delphinus.vc","","","","Denmark","Healthtech; ClimateTech","Not specified","","2025-08-13","Aug"
"Germany","SIventures II","","II","https://smartinfrastruct…","","","","DACH","AI; Enterprise software; PropTech; Healthtech; Energy","Up to €500k","Pre-Seed; Seed","2025-08-05","Aug"
"Bulgaria","Vitosha Ventures II","","II","https://vitosha.vc","","","","Bulgaria","Agnostic","€25k–€1M","Pre-Seed; Seed","2025-08-01","Aug"
"Norway","Alliance Nordic III","","III","https://alliance.vc","","","","Nordics","AI","€0.3–€3M","Seed","2025-07-01","Jul"
"Germany","Auxxo Female Catalyst Fund II","","II","https://auxxo.de","","","","Europe","Agnostic; Female Founders","€0.35–0.8M","Pre-Seed; Seed","2025-07-01","Jul"
"Denmark","BlackWood Ventures Fund I","","I","https://blackwood.vc","","","","Europe","Web3; ClimateTech; Fintech","N/A","Pre-Seed; Seed","2025-07-01","Jul"
"Netherlands","CapitalT Fund II","","II","https://capitaltvc.com","","","","Nordics; Western E…","ClimateTech; Future of work","N/A","Pre-Seed; Seed","2025-07-01","Jul"
"France","Eurazeo Growth AI Fund","","IV","https://www.eurazeo.c…","","","","Europe","AI","€20M–€100M","Growth; Series C","2025-07-01","Jul"
"Ukraine","Flyer One Ventures Fund V","","V","https://flyerone.vc","","","","CEE; Ukraine","Agnostic","Up to €1.2M","Pre-Seed; Seed","2025-07-01","Jul"
"United Kingdom","Growth Capital Partners Fund VI","","VI","https://www.growthcap…","","","","Europe; UK","Agnostic","N/A","Growth","2025-07-01","Jul"
"Sweden","Norrsken Foundation – “AI for Good”","","N/A","https://norrsken.vc","","","","Europe","ImpactTech; ClimateTech","N/A","Pre-Seed; Seed; Series A","2025-07-01","Jul"
"Spain","Nzyme (Kibo Ventures)","","I","https://kiboventures.co…","","","","Spain","B2B","€15–20M","Growth","2025-07-01","Jul"
"Germany","Project A Ventures Fund V","","V","https://www.project-a…","","","","UK","Fintech; Agnostic; AI","N/A","Pre-Seed; Seed","2025-07-01","Jul"
"United Kingdom","Venture.Community Co-fund","","I","https://venture.commun…","","","","UK","Agnostic","N/A","Pre-Seed; Seed","2025-07-01","Jul"
"Lithuania","Iron Wolf Capital Fund II","","II","https://ironwolfcapital…","","","","Baltics; EE","DeepTech","€0.5–2M","Seed","2025-06-12","Jun"
"France","ISAI Growth Tech Fund","","N/A","https://isai.fr","","","","France; Benelux","Agnostic","€10M–€50M","Growth","2025-06-12","Jun"
"Czech Republic","KAYA Fund V","","V","https://kaya.vc","","","","CEE","Agnostic","€1M–€3M","Pre-Seed; Seed; Series A","2025-06-12","Jun"
"Poland","Movens Capital Fund II","","II","https://movenscapital…","","","","CEE","Enterprise software; AI; ClimateTech; Fintech","€250k–€3M","Pre-Seed; Seed; Series A","2025-06-12","Jun"
"France","Omnes Capital – Real Tech Fund 2","","II","https://www.omnescap…","","","","Europe","DeepTech","N/A","Series B; Series C; Growth","2025-06-12","Jun"
"Germany","Realyze Ventures Fund I","","I","https://realyzeventures…","","","","Europe","PropTech","N/A","Pre-Seed; Seed","2025-06-12","Jun"
"Germany","TechVision Fund II (TVF)","","II","https://tvf.vc","","","","Germany; Benelux","DeepTech","N/A","Pre-Seed; Seed","2025-06-12","Jun"
